Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for UK
Areal series, starting in 1884
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    2.7    1.5    1.8    2.2    5.0    7.9   10.4   10.5    9.0    4.9    1.8    0.9     ---    2.99    9.64    5.25    4.90
1885   -0.2    1.3   -0.1    2.5    3.5    7.8    9.6    8.2    6.8    3.1    2.3    0.3    0.62    1.97    8.53    4.07    3.77
1886   -1.5   -1.7   -0.1    2.2    4.7    7.5    9.8   10.0    8.1    6.8    3.0   -1.6   -0.93    2.26    9.11    5.99    3.97
1887   -0.6    0.3   -0.1    0.9    4.6    8.8   10.6    9.1    6.9    2.9    1.3   -0.6   -0.66    1.83    9.48    3.67    3.68
1888    0.2   -1.4   -0.9    1.7    4.6    7.3    8.7    8.9    7.0    3.8    4.2    1.7   -0.58    1.80    8.32    5.00    3.84
1889    0.3   -0.7    0.5    2.6    7.2    9.1    9.3    9.7    7.7    4.3    3.3    0.3    0.46    3.43    9.34    5.11    4.49
1890    1.9   -0.1    1.5    2.0    6.0    8.4    9.1    9.2    9.4    5.3    1.8   -2.3    0.72    3.17    8.88    5.50    4.37
1891   -1.6    0.4   -0.5    1.1    3.9    8.6    9.7    9.5    8.8    4.8    1.8    0.5   -1.23    1.48    9.29    5.12    3.93
1892   -1.2   -0.4   -1.9    0.9    5.3    7.2    8.9    9.7    6.9    2.7    2.9   -1.4   -0.36    1.46    8.61    4.17    3.32
1893   -0.9    0.8    1.4    3.2    6.8    8.9   10.6   11.3    7.3    5.1    1.1    1.1   -0.54    3.81   10.29    4.54    4.77
1894   -0.3    0.7    1.1    4.0    3.8    8.0   10.4    9.6    6.7    4.5    4.1    1.6    0.50    2.96    9.35    5.10    4.53
1895   -3.4   -5.9    0.8    3.0    5.5    7.8    9.7   10.4    9.2    2.5    3.3    0.5   -2.48    3.13    9.29    4.98    3.67
1896    1.3    1.2    1.9    3.9    5.6    9.6   10.0    9.0    8.4    2.6    1.3    0.4    1.00    3.81    9.54    4.07    4.61
1897   -1.4    1.9    2.1    1.9    4.0    9.0   10.1   10.7    6.8    5.4    3.9    1.0    0.22    2.69    9.94    5.35    4.63
1898    3.3    0.5   -0.1    3.2    5.6    7.9    9.0   10.4    9.0    7.1    3.0    3.3    1.62    2.92    9.13    6.37    5.22
1899    0.7    0.5    0.1    2.9    4.1    8.8   11.2   11.0    8.0    4.4    4.9   -0.9    1.53    2.35   10.34    5.75    4.64
1900    1.0   -1.7   -0.6    2.8    5.0    8.9   11.2    9.8    7.8    4.6    3.3    3.4   -0.50    2.40    9.96    5.24    4.67
