Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1862  120.6   32.0  104.7   92.4   96.7   93.6  102.5   84.8   76.1  174.1   57.5  134.8     ---   293.8   280.9   307.6  1169.8
1863  162.7   78.9   58.1   70.7   53.5  114.8   26.7  117.1  136.0  140.6  113.7  114.7   376.5   182.4   258.6   390.3  1187.6
1864   72.8   84.6  103.2   50.5   57.9   72.5   48.5   47.8  117.9   95.0  112.0  102.9   272.0   211.7   168.9   324.9   965.7
1865  114.9   91.9   61.6   32.6   97.4   39.7   93.3  129.4   28.3  163.1  107.5   86.5   309.7   191.6   262.4   298.9  1046.2
1866  148.6  124.5   85.2   53.7   43.7   72.9   77.7  113.1  159.8   75.0  110.4  127.1   359.6   182.6   263.6   345.2  1191.7
1867  128.9   86.6   76.3  117.8   73.1   52.1  112.9   76.4   80.4  124.3   37.9   89.5   342.6   267.1   241.3   242.7  1056.2
1868  150.8  118.4  110.3   75.6   56.3   35.2   26.1  135.5   86.4  114.4   78.5  198.4   358.7   242.2   196.8   279.2  1185.7
1869  135.7  125.5   57.6   64.9   88.1   44.2   38.5   48.4  161.5   92.2  121.4  142.2   459.6   210.6   131.1   375.1  1120.3
1870   80.0   85.1   49.3   50.8   57.7   43.6   52.1   58.7   75.1  169.0   86.0  103.8   307.3   157.8   154.3   330.1   911.1
1871   81.7   93.7   65.3  100.8   31.7   70.6  131.3   66.7  119.7  104.4   64.0   94.4   279.3   197.8   268.7   288.2  1024.5
1872  170.1  107.9   84.9   74.0   76.9  132.6  111.2   96.5  138.4  154.7  164.1  146.5   372.3   235.9   340.3   457.2  1457.9
1873  142.0   46.9   73.7   29.6   67.9   62.8  106.8  117.2   92.2  123.7   86.6   65.4   335.4   171.2   286.8   302.5  1014.7
1874  112.9   61.9   78.9   64.3   45.4   44.9   65.4  119.2  126.2  147.2  108.5   94.2   240.2   188.5   229.5   381.9  1068.8
1875  142.4   49.7   40.8   42.7   65.5   85.1  119.5   87.0  108.2  146.6  139.1   80.4   286.3   148.9   291.7   393.9  1107.1
1876   69.2  112.7  125.7   82.3   26.2   72.5   60.1   91.7  121.4  101.0  105.1  192.1   262.3   234.2   224.2   327.5  1159.9
1877  170.0  105.4   81.0   83.2   80.3   83.0  114.5  139.7   74.8  127.9  173.8  113.8   467.4   244.6   337.2   376.5  1347.3
1878   97.0   56.9   60.8   61.0  115.1   80.0   39.1  139.0  102.5  125.6  110.7   78.1   267.8   236.9   258.0   338.8  1065.8
1879   63.1   88.8   62.0   63.2   75.1  127.3  125.8  144.7  111.9   53.4   50.1   62.8   230.0   200.3   397.8   215.3  1028.0
